Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Cobalt Dickens,8/24/2018,Also known as the Silent Librarian. Believed to be associated with the Mabna Institute.,This threat actor targets universities around the world for espionage purposes.,,"Australia, Canada, China, Israel, Japan, Switzerland, Turkey, United Kingdom, United States",Iran (Islamic Republic of),Espionage,Civil society,https://www.secureworks.com/blog/back-to-school-cobalt-dickens-targets-universities,,
UK targeting of the Islamic State group,4/12/2018,Believed to be associated with the U.S. targeting of the Islamic State Group.,"The United Kingdom’s Government Communications Headquarters director announced that, along with the UK Ministry of Defense, it had conducted a “major offensive cyber campaign” directed at the Islamic State, with the purpose of disrupting the group’s ability to recruit and coordinate. The UK campaign mirrors a previous one announced by the U.S. government in 2016.",,Islamic State Group,United Kingdom,Sabotage,Civil society,https://www.gchq.gov.uk/sites/default/files/Director%20GCHQ%20speech%20CyberUK%202018.pdf,https://www.bbc.com/news/technology-43738953,
Targeting of Westinghouse Electric Corporation,10/4/2018,Believed to be the work of APT 28,"A threat actor targeted Westinghouse Electric Company, a nuclear power developer, for espionage purposes. One of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), was indicted by the U.S. Justice Department.",Criminal charges   https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,Westinghouse Electric Company,Russian Federation,Espionage,Private sector,https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,
Targeting of North Korean defectors and journalists,5/15/2018,Believed to be associated with the Lazarus Group,"A threat actor targets North Korean defectors and journalists with an interest in North Korea by compromising their Android devices, for espionage.",,South Korea,Korea (Democratic People's Republic of),Espionage,Civil society,https://securingtomorrow.mcafee.com/mcafee-labs/north-korean-defectors-journalists-targeted-using-social-networks-kakaotalk/,https://www.cyberscoop.com/new-hacking-campaign-targets-north-korean-defectors-in-south-korea/,https://securingtomorrow.mcafee.com/mcafee-labs/malware-on-google-play-targets-north-korean-defectors/
Raspite,8/2/2018,,This threat actor targets entities that operate industrial control systems in the electric utility sector.,,United States,,Espionage,Private sector,https://www.dragos.com/blog/20180802Raspite.html,,
Attempt to compromise Ukraine's judicial system,12/4/2018,Believed to be the work of a Russian hacking group.,Ukraine’s security agency thwarted an attack attempting to target the country’s court system.,,Ukraine,Russian Federation,Espionage,Government,https://www.apnews.com/6eb40bb43cc74c6eb5b9e386ee62aa20,https://www.rferl.org/a/ukraine-cyberattack-thwarted/29638290.html,
APT 37,2/20/2018,Also known as Reaper and Group 123,"This threat actor uses social engineering techniques to target companies in the chemicals, electronics, manufacturing, aerospace, automotive, and health-care sectors, as well as the South Korean government.",,"Republic of Korea, Japan, Vietnam",Korea (Democratic People's Republic of),,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2018/02/apt37-overlooked-north-korean-actor.html,https://blog.talosintelligence.com/2018/01/korea-in-crosshairs.html,https://researchcenter.paloaltonetworks.com/2018/04/unit42-reaper-groups-updated-mobile-arsenal/
Targeting of German critical infrastructure sectors,6/7/2018,Believed to be the work of Crouching Yeti,"A threat actor targeted critical infrastructure entities in the energy, water, and telecommunications sectors, prompting the German government to issue a public alert. In remarks following the alert's release, the head of Germany’s domestic intelligence agency accused Russia of controlling the targeting campaign.",Denouncement   https://www.reuters.com/article/us-germany-cyber-russia/german-intelligence-sees-russia-behind-hack-of-energy-firms-media-report-idUSKBN1JG2X2,Germany,Russian Federation,Espionage,Private sector,https://www.verfassungsschutz.de/embed/broschuere-2018-06-bfv-cyber-brief-2018-01-neu.pdf,https://www.reuters.com/article/us-germany-cyber-russia/german-intelligence-sees-russia-behind-hack-of-energy-firms-media-report-idUSKBN1JG2X2,
Targeting of Omar Abdulaziz,10/1/2018,,"A threat actor targeted the iPhone of Omar Abdulaziz, a critic of the Kingdom of Saudi Arabia living in Canada, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",,Omar Abdulaziz,Saudi Arabia,Espionage,Civil society,https://citizenlab.ca/2018/10/the-kingdom-came-to-canada-how-saudi-linked-digital-espionage-reached-canadian-soil/,,
Compromise of Mongolian government data center,6/13/2018,,A threat actor has compromised a government data center in Mongolia. Kaspersky Lab assesses that the threat actor used its access to compromise websites that they will use in subsequent watering-hole attacks.,,Mongolia,China,Espionage,Government,https://www.cyberscoop.com/apt27-mongolia-kaspersky/,https://securelist.com/luckymouse-hits-national-data-center/86083/,
Alleged Russian compromise of networking equipment,4/16/2018,Believed to be associated with Sandworm. Also known as VPNFilter.,"The U.S. Department of Homeland Security and the UK National Cyber Security Centre issued a joint alert warning of a Russian state-sponsored campaign to compromise networking equipment, such as routers and switches, to support their cyber operations. A few weeks later, the FBI took control of a botnet with over five hundred thousand compromised devices and issued a public request that individuals with certain router models restart them.",Sanctions   https://home.treasury.gov/news/press-releases/sm0410,"Worldwide, United States, United Kingdom, Ukraine",Russian Federation,Sabotage,Private sector,https://www.us-cert.gov/ncas/alerts/TA18-106A,https://blog.talosintelligence.com/2018/05/VPNFilter.html,https://arstechnica.com/information-technology/2018/06/vpnfilter-malware-infecting-50000-devices-is-worse-than-we-thought/
Gorgon Group,8/2/2018,,This threat actor targets government entities in the United States and Europe. It also conducts criminal operations.,,"United States, Spain, Russian Federation, United Kingdom",,Espionage,Government,https://researchcenter.paloaltonetworks.com/2018/08/unit42-gorgon-group-slithering-nation-state-cybercrime/,,
Targeting of the Parliament of Australia,12/7/2018,Unknown,"An attack targeted computer systems in both houses of the Parliament of Australia. The systems of the ruling Liberal-National Coalition Party and Labor, the main opposition party, were compromised, but there is no evidence of electoral interference.",,Australia,,,Government,https://www.wsj.com/articles/iran-blamed-for-cyberattack-on-australias-parliament-11550736796,http://fortune.com/2019/02/18/australia-parliament-hack/,https://www.nytimes.com/2019/02/07/world/australia/cyberattack-parliament-hack.html
Compromise of an air-gapped German government network,2/28/2018,,"A threat actor compromised the Informationsverbund Berlin-Bonn, a computer network air gapped from the global internet, used by the German chancellery, parliament, Foreign Office, and other government departments based in Bonn, Germany.",Denouncement   https://www.reuters.com/article/us-germany-security/moscow-likely-behind-hack-on-german-govt-spy-chief-says-idUSKBN1HI19D,Germany,Russian Federation,Espionage,Government,http://www.dw.com/en/germany-admits-hackers-infiltrated-federal-ministries-russian-group-suspected/a-42775517,https://twitter.com/RidT/status/969585432567611393,http://www.spiegel.de/international/germany/cyber-espionage-likely-from-russia-targets-german-government-a-1196520.html
RedAlpha,6/26/2018,"Believed to use similar infrastructure as the NetTraveler, Icefog, and APT 17 threat actors","This threat actor targets Tibetan organizations based in India, for the purpose of espionage.",,India,China,Espionage,Civil society,https://www.recordedfuture.com/redalpha-cyber-campaigns/,,
Targeting of congressional campaigns for the 2018 U.S. midterm elections,7/19/2018,Believed to be the work of APT 28,A threat actor targets the campaigns of candidates running for Congress in the 2018 U.S. midterm elections.,,Candidates for the U.S. Congress,Russian Federation,Espionage,Government,https://www.youtube.com/watch?v=NlCJokZcwJA,https://www.cyberscoop.com/microsoft-reveals-first-known-russian-hacking-attempt-aimed-2018-midterms/,
Targeting of South Korean actors prior to meeting of Donald J. Trump and Kim Jong-un,6/5/2018,Believed to be the work of TempTick and Turla,"Two separate threat actors targeted South Korean government organizations prior to the meeting between U.S. President Donald J. Trump and North Korean leader Kim Jong-un, for the purpose of espionage.",,South Korea,"China, Russian Federation",Espionage,Government,https://www.wsj.com/articles/south-korea-fends-off-chinese-russian-cyberattacks-u-s-researcher-says-1528194642,https://www.cyberscoop.com/chinese-russian-hacking-groups-spy-south-korea-amid-u-s-north-korea-peace-talks/,https://www.independent.co.uk/life-style/gadgets-and-tech/news/trump-us-north-korea-summit-kim-jong-un-hackers-china-russia-a8384586.html
Indictment of officials from the Mabna Institute,3/28/2018,,"The U.S. Department of Justice indicted nine officials from the Mabna Insititute, an Iranian company alleged to have conducted state-sponsored cyber operations on behalf of the Iranian Revolutionary Guards. They are alleged to have compromised the networks of over 144 U.S. universities, 176 universities in over twenty-one other countries, as well as private sector, government, and multilateral entities.",Criminal charges   https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary,"United States, United Nations, UNICEF, Australia, Canada, China, Denmark, Germany, Ireland, Israel, Italy, Japan, Malaysia, Netherlands, Norway, Poland, Singapore, Republic of Korea, Spain, Sweden, Switzerland, Turkey, United Kingdom",Iran (Islamic Republic of),Espionage,"Government, Civil society, Private sector",https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary,https://home.treasury.gov/news/press-releases/sm0332,
